"wmon","fmisid","station_name","lon","lat","elev"
NA,100002,"vt1 Nupuri R",24.59641,60.22805,40
NA,100003,"kt51 Hki Lapinlahti R",24.8909,60.16612,11
NA,100004,"st110 Myllylampi R",24.2365,60.3122,76
NA,100005,"vt4 Jakomäki R",25.06451,60.25159,23
NA,100006,"vt4 Kerava R",25.12375,60.4264,43
NA,100007,"vt7 Koskenkylä R",25.91003,60.4909,2
NA,100009,"vt4 Ohkola R",25.18706,60.55558,79
NA,100010,"vt4 Levanto R",25.44802,60.7359,99
NA,100011,"vt7 Sipoonlahti",25.32499,60.28143,7
NA,100012,"kt51 Kivenlahti R",24.66754,60.15297,10
NA,100013,"kt51 Inkoo R",24.0759,60.06059,13
NA,100014,"vt25 Hanko R",23.02192,59.85642,10
NA,100015,"vt25 Karjaa R",23.72603,60.08069,45
NA,100016,"vt25 Virkkala R",24.01937,60.2037,45
NA,100018,"vt25 Hyvinkää R",24.83246,60.58054,91
NA,100019,"vt7 Porvoo",25.59376,60.37899,17
NA,100020,"vt3 Karhunkorpi R",24.85203,60.49641,84
NA,100021,"kt55 Monninkylä R",25.53826,60.50517,44
NA,100022,"vt7 Loviisa R",26.18498,60.45976,22
NA,100023,"st110 Hyrsylän mutka R",24.0327,60.38976,35
NA,100024,"st110 Oinola R",23.90504,60.38588,56
NA,100025,"vt3 Pirkkola R",24.90504,60.22939,19
NA,100026,"kt50 Askisto R",24.77021,60.27083,22
NA,100027,"kt45 Ilola R",24.99758,60.3207,36
NA,100028,"vt6 Lapinjärvi R",26.18013,60.61651,27
NA,100030,"vt3 Keimola 2 R",24.82601,60.32643,49
NA,100031,"kt45 Raala R",24.94601,60.46443,54
NA,100032,"vt1 Palojärvi R",24.31916,60.29328,55
NA,100034,"kt51 Vaskisalmi R",24.85246,60.16408,3
NA,100036,"kt51 Karhusaari R",24.82312,60.16897,6
NA,100038,"Vantaa Hakkila R",25.07997,60.28224,36
NA,100039,"kt51 Kirkkonummi R",24.401,60.11381,8
NA,100040,"vt2 Karkkila R",24.22734,60.53931,90
NA,100041,"vt25 Tammisaari R",23.39942,59.97985,12
NA,100042,"vt25 Keravanjärvi R",25.09232,60.61717,90
NA,100043,"st101 Turvesuo R",24.80758,60.18485,2
NA,100046,"st167 Hallila R",25.86321,60.62075,38
